number1,number2,length1,length2
8,7,1,1
1,2,1,1
9,7,1,1
9,3,1,1
5,4,1,1
6,9,1,1
5,2,1,1
1,8,1,1
1,3,1,1
7,1,1,1
2,16,1,2
8,71,1,2
2,13,1,2
5,85,1,2
8,31,1,2
5,26,1,2
3,72,1,2
2,41,1,2
9,46,1,2
10,84,1,2
9,698,1,3
10,880,1,3
10,753,1,3
5,740,1,3
8,379,1,3
6,312,1,3
1,566,1,3
1,304,1,3
4,724,1,3
8,931,1,3
3,5937,1,4
1,4094,1,4
3,9263,1,4
5,1602,1,4
1,2149,1,4
5,3257,1,4
7,3331,1,4
3,8565,1,4
3,1439,1,4
7,3844,1,4
8,71541,1,5
6,18966,1,5
9,52019,1,5
5,45369,1,5
1,60746,1,5
1,38256,1,5
2,22560,1,5
10,37196,1,5
10,13484,1,5
7,59874,1,5
4,544847,1,6
4,249823,1,6
6,400486,1,6
6,236360,1,6
6,761316,1,6
4,676317,1,6
10,512535,1,6
2,339079,1,6
5,732866,1,6
9,532384,1,6
5,4454343,1,7
7,1575797,1,7
1,4577826,1,7
4,5626655,1,7
4,1799714,1,7
1,3317703,1,7
9,4816168,1,7
4,9412352,1,7
5,2472379,1,7
8,3703727,1,7
7,18603816,1,8
9,23931203,1,8
5,25515988,1,8
9,80471426,1,8
3,55065113,1,8
8,40049815,1,8
10,56511308,1,8
7,52735279,1,8
1,68848436,1,8
3,12357728,1,8
1,256689754,1,9
8,753482555,1,9
4,120702360,1,9
9,970870286,1,9
7,599213351,1,9
10,830171525,1,9
7,168328825,1,9
8,150805061,1,9
5,808633313,1,9
5,342743808,1,9
3,4798500633,1,10
2,2909275291,1,10
6,1824180493,1,10
4,5963202765,1,10
3,8316985093,1,10
1,4028197323,1,10
4,6510313478,1,10
6,9814483299,1,10
6,6305349873,1,10
10,5477120616,1,10
32,2,2,1
35,1,2,1
50,10,2,1
66,1,2,1
31,1,2,1
94,6,2,1
16,5,2,1
75,8,2,1
49,7,2,1
27,5,2,1
27,18,2,2
32,99,2,2
91,34,2,2
48,37,2,2
31,68,2,2
22,49,2,2
53,46,2,2
80,78,2,2
86,30,2,2
15,80,2,2
11,374,2,3
27,504,2,3
51,720,2,3
53,919,2,3
48,271,2,3
14,646,2,3
18,276,2,3
36,103,2,3
27,510,2,3
70,855,2,3
79,5631,2,4
