number1,number2,length1,length2
7,8,1,1
6,5,1,1
4,6,1,1
1,4,1,1
1,4,1,1
1,10,1,1
7,4,1,1
7,8,1,1
10,7,1,1
7,4,1,1
5,5,1,1
8,7,1,1
5,3,1,1
5,9,1,1
5,2,1,1
5,8,1,1
7,10,1,1
8,3,1,1
5,8,1,1
2,8,1,1
2,3,1,1
2,9,1,1
3,4,1,1
5,5,1,1
4,3,1,1
1,8,1,1
2,7,1,1
9,4,1,1
8,8,1,1
10,1,1,1
7,3,1,1
9,10,1,1
5,7,1,1
2,9,1,1
7,5,1,1
4,3,1,1
4,5,1,1
5,10,1,1
7,3,1,1
9,5,1,1
4,8,1,1
3,1,1,1
2,5,1,1
10,9,1,1
4,1,1,1
3,10,1,1
1,4,1,1
8,4,1,1
9,4,1,1
2,6,1,1
5,9,1,1
10,9,1,1
9,9,1,1
8,8,1,1
5,3,1,1
8,5,1,1
6,3,1,1
3,9,1,1
1,10,1,1
10,6,1,1
1,6,1,1
9,7,1,1
5,7,1,1
10,8,1,1
4,7,1,1
3,1,1,1
3,5,1,1
2,5,1,1
4,3,1,1
9,10,1,1
6,10,1,1
1,2,1,1
8,4,1,1
10,1,1,1
2,6,1,1
10,6,1,1
10,9,1,1
8,8,1,1
8,7,1,1
10,10,1,1
3,5,1,1
2,5,1,1
6,1,1,1
3,10,1,1
1,9,1,1
5,6,1,1
7,10,1,1
6,8,1,1
1,4,1,1
8,8,1,1
4,8,1,1
8,7,1,1
3,2,1,1
7,9,1,1
10,5,1,1
8,4,1,1
6,5,1,1
5,3,1,1
1,10,1,1
1,2,1,1
7,21,1,2
2,23,1,2
8,74,1,2
7,25,1,2
7,97,1,2
5,37,1,2
8,10,1,2
7,10,1,2
5,83,1,2
1,59,1,2
7,80,1,2
10,37,1,2
2,62,1,2
4,34,1,2
2,19,1,2
2,85,1,2
2,42,1,2
9,51,1,2
4,31,1,2
6,30,1,2
9,60,1,2
6,85,1,2
10,14,1,2
5,88,1,2
5,25,1,2
